iata,lat,lon,country,icao,tz,city,subd,size
WPK,-16.6583,144.002,AU,YWMP,Australia/Brisbane,,Queensland,small
WDI,-26.2833,151.858,AU,YWND,Australia/Brisbane,,Queensland,small
ULP,-26.6122,144.25301,AU,YQLP,Australia/Brisbane,,Queensland,small
UEE,-42.075,145.532,AU,YQNS,Australia/Hobart,,Tasmania,small
RAM,-12.3564,134.89799,AU,YRNG,Australia/Darwin,,Northern Territory,small
RSB,-25.8333,139.64999,AU,YRSB,Australia/Brisbane,,Queensland,small
SIX,-32.60083,151.19306,AU,YSGT,Australia/Sydney,Singleton,New South Wales,small
SHU,-11.15,132.14999,AU,YSMP,Australia/Darwin,,Northern Territory,small
TTX,-14.0897,126.381,AU,YTST,Australia/Perth,,Western Australia,small
USL,-26.1667,113.4,AU,YUSL,Australia/Perth,,Western Australia,small
UMR,-31.1442,136.817,AU,YPWR,Australia/Adelaide,Woomera,South Australia,small
RPB,-14.7383,134.51801,AU,YRRB,Australia/Darwin,,Northern Territory,small
CBR,-35.3069,149.19501,AU,YSCB,Australia/Sydney,Canberra,ACT,medium
SLJ,-22.25528,117.76194,AU,YSOL,Australia/Perth,Karijini National Park,Western Australia,small
TPR,-22.746,117.869,AU,YTMP,Australia/Perth,Tom Price,Western Australia,small
SYU,-10.2083,142.825,AU,YWBS,Australia/Brisbane,Sue Islet,Queensland,small
WOL,-34.5611,150.789,AU,YWOL,Australia/Sydney,,New South Wales,medium
ROH,-18.845,143.71001,AU,YROB,Australia/Brisbane,,Queensland,small
SWC,-37.0717,142.741,AU,YSWL,Australia/Melbourne,,Victoria,small
WMB,-38.2953,142.44701,AU,YWBL,Australia/Melbourne,,Victoria,small
PLO,-34.6053,135.88,AU,YPLC,Australia/Adelaide,Port Lincoln,South Australia,small
KTR,-14.5211,132.37801,AU,YPTN,Australia/Darwin,,Northern Territory,small
RMK,-34.1964,140.674,AU,YREN,Australia/Adelaide,,South Australia,small
SHQ,-27.915,153.373,AU,YSPT,Australia/Brisbane,,Queensland,small
KSV,-23.55,140.7,AU,YSPV,Australia/Brisbane,,Queensland,small
WAZ,-28.1494,151.94299,AU,YWCK,Australia/Brisbane,,Queensland,small
WON,-18.575,140.892,AU,YWDL,Australia/Brisbane,,Queensland,small
WUN,-26.6292,120.221,AU,YWLU,Australia/Perth,,Western Australia,small
WLL,-17.22,137.923,AU,YWOR,Australia/Darwin,,Northern Territory,small
KNX,-15.7781,128.70799,AU,YPKU,Australia/Perth,Kununurra,Western Australia,small
PTJ,-38.3181,141.47099,AU,YPOD,Australia/Hobart,,Victoria,small
PHE,-20.3778,118.626,AU,YPPD,Australia/Perth,Port Hedland,Western Australia,small
SCG,-18.6333,144.567,AU,YSPK,Australia/Brisbane,,Queensland,small
TDR,-24.9933,150.093,AU,YTDR,Australia/Brisbane,,Queensland,small
TWB,-27.5428,151.916,AU,YTWB,Australia/Brisbane,,Queensland,small
CZY,-24.5167,139.617,AU,YUNY,Australia/Brisbane,,Queensland,small
VNR,-16.9633,141.95,AU,YVRS,Australia/Brisbane,,Queensland,small
WND,-28.475,122.242,AU,YWDA,Australia/Perth,,Western Australia,small
NDS,-27.98,119.297,AU,YSAN,Australia/Perth,Sandstone,Western Australia,small
DBO,-32.2167,148.575,AU,YSDU,Australia/Sydney,Dubbo,New South Wales,small
